ID,Timestamp,Days,Hours,Minutes,RawData
C1,16801,0,4,40,###C1#T0#S2_3.94#T1#S3_34.0#T2#S1_102.99_A11#T3#S1_15.16_A11#T4#S1_17.21_A11#T5#S1_20.05_A11#T6#S1_112.86_A11#E#
C1,17101,0,4,45,###C1#T0#S2_3.94#T1#S3_35.3#T2#S1_97.55_A11#T3#S1_14.29_A11#T4#S1_16.89_A11#T5#S1_17.70_A11#T6#S1_107.51_A11#E#
C1,17401,0,4,50,###C1#T0#S2_3.94#T1#S3_37.0#T2#S1_97.09_A11#T3#S1_13.61_A11#T4#S1_16.50_A11#T5#S1_16.83_A11#T6#S1_38.77_A11#E#
C1,17701,0,4,55,###C1#T0#S2_3.94#T1#S3_38.5#T2#S1_93.59_A11#T3#S1_15.74_A11#T4#S1_17.89_A11#T5#S1_19.54_A11#T6#S1_21.58_A11#E#
C1,18001,0,5,0,###C1#T0#S2_3.94#T1#S3_39.5#T2#S1_90.86_A11#T3#S1_14.04_A11#T4#S1_14.76_A11#T5#S1_15.62_A11#T6#S1_14.97_A11#E#
C1,18301,0,5,5,###C1#T0#S2_3.94#T1#S3_40.3#T2#S1_87.92_A11#T3#S1_12.66_A11#T4#S1_14.08_A11#T5#S1_15.61_A11#T6#S1_15.35_A11#E#
C1,18601,0,5,10,###C1#T0#S2_3.94#T1#S3_40.3#T2#S1_84.96_A11#T3#S1_12.62_A11#T4#S1_14.24_A11#T5#S1_14.25_A11#T6#S1_14.48_A11#E#
C1,18901,0,5,15,###C1#T0#S2_3.94#T1#S3_40.5#T2#S1_81.84_A11#T3#S1_12.02_A11#T4#S1_13.68_A11#T5#S1_14.18_A11#T6#S1_14.60_A11#E#
C1,19201,0,5,20,###C1#T0#S2_3.94#T1#S3_40.3#T2#S1_78.78_A11#T3#S1_11.74_A11#T4#S1_13.21_A11#T5#S1_13.59_A11#T6#S1_13.74_A11#E#
C1,19501,0,5,25,###C1#T0#S2_3.94#T1#S3_40.0#T2#S1_75.64_A11#T3#S1_11.47_A11#T4#S1_12.72_A11#T5#S1_13.65_A11#T6#S1_13.04_A11#E#
C1,19801,0,5,30,###C1#T0#S2_3.94#T1#S3_39.8#T2#S1_72.59_A11#T3#S1_11.08_A11#T4#S1_12.59_A11#T5#S1_13.15_A11#T6#S1_12.79_A11#E#
